File,Leda_ud,Leda_ur,Leda_pairwise_ud,Leda_pairwise_ur,Leda_balaban_ud,Leda_balaban_ur,Leda_trivial_ud,Leda_trivial_ur
/data/csv_files/250-248-250-248-248_star_intersections_9_500.csv,270336,532480,0,0,1785856,270336,1769472,0
/data/csv_files/1-1-1-1-1_length_0_4.csv,2330624,2453504,0,0,1724416,0,0,0
/data/csv_files/500-494-500-494-494_star_intersections_9_1000.csv,811008,811008,0,0,540672,540672,0,0
/data/csv_files/472623-2876-499500-501-501_star_intersections_4_l_1000.csv,540672,540672,0,0,270336,540672,0,270336
/data/csv_files/14849-14849-14849-14849-14849_clustered_m_10.csv,5435392,8126464,2162688,4595712,540672,540672,0,0
/data/csv_files/12000-11972-12000-11982-11973_star_intersections_10_4000.csv,5947392,7626752,1622016,3784704,2174976,2973696,540672,811008
/data/csv_files/323970-323970-323970-323970-323970_clustered_xxxxxl_10.csv,114581504,172126208,47038464,104890368,2162688,3104768,540672,1081344
/data/csv_files/0-0-0-0-0_parallel_and_collinear_12.csv,2330624,2453504,0,0,1724416,0,0,0
/data/csv_files/0-0-0-0-0_parallel_and_collinear_7.csv,2330624,2453504,0,0,1724416,0,0,0
/data/csv_files/1111-1111-1111-1111-1111_rounding_m_2000.csv,Error,1081344,270336,0,1081344,1351680,270336,540672
/data/csv_files/0-0-0-0-0_parallel_and_collinear_2.csv,2330624,2453504,0,0,0,0,0,0
/data/csv_files/18000-17979-18000-17982-17979_star_intersections_10_6000.csv,8679424,11677696,2703360,5406720,3244032,4595712,811008,1622016
/data/csv_files/1-1-2-2-2_accuracy_6.csv,Error,2453504,0,0,1724416,0,0,0
/data/csv_files/500000-37686-500000-366115-45138_star_intersections_7_m_1000.csv,3891200,83615744,540672,38928384,270336,540672,0,0
/data/csv_files/500000-43751-500000-375128-55154_star_intersections_8_l_1000.csv,4595712,81252352,540672,38117376,270336,540672,0,270336
/data/csv_files/458125-458125-458125-458125-458125_clustered_xxxxxxxl_10.csv,156520448,238166016,66772992,148414464,2465792,3612672,540672,1081344
/data/csv_files/464459-464459-464459-464459-464459_clustered_xl_1.csv,156884992,239468544,67584000,150036480,1081344,1351680,270336,540672
/data/csv_files/28-5-28-5-5_star_intersections_3.csv,2330624,2453504,0,0,0,0,0,0
/data/csv_files/0-0-0-0-0_length_0_1.csv,2396160,2453504,0,0,1724416,0,0,0
/data/csv_files/3000-2988-3000-2988-2988_star_intersections_9_6000.csv,4079616,4644864,270336,811008,3244032,4595712,811008,1622016
/data/csv_files/0-0-0-0-0_parallel_and_collinear_15.csv,2330624,2453504,0,0,1724416,0,0,0
/data/csv_files/1884847-1884847-1884847-1884847-1884847_random_l_4000.csv,633085952,968744960,273850368,609337344,2162688,3039232,540672,1081344
/data/csv_files/2-2-2-2-2_accuracy_3.csv,Error,2453504,0,0,1724416,0,0,0
/data/csv_files/1-1-1-1-1_parallel_and_collinear_9.csv,2334720,2453504,0,0,1724416,0,0,0
/data/csv_files/4256775-13230-4498500-1501-1501_star_intersections_4_l_3000.csv,1351680,1351680,0,0,1081344,1622016,270336,540672
/data/csv_files/1041752-1041752-1041752-1041752-1041752_random_m_3000.csv,386572288,565862400,151117824,337108992,1351680,2162688,270336,811008
/data/csv_files/4500000-224885-4500000-3375132-275762_star_intersections_8_m_3000.csv,21856256,799129600,2703360,365223936,1150976,1740800,270336,811008
/data/csv_files/0-0-0-0-0_parallel_and_collinear_20.csv,2334720,2453504,0,0,1724416,0,0,0
/data/csv_files/23790-23790-23790-23790-23790_clustered_m_5.csv,8617984,12779520,3244032,7569408,540672,540672,0,0
/data/csv_files/1849274-1849274-1849274-1849274-1849274_clustered_xxxxxl_1.csv,622350336,951554048,268713984,598253568,2162688,3121152,540672,1081344
/data/csv_files/2750-2736-2750-2738-2737_star_intersections_9_5500.csv,3747840,4186112,270336,1081344,2973696,4055040,540672,1081344
/data/csv_files/2775-2775-2775-2775-2775_rounding_s_5000.csv,Error,2617344,540672,0,2465792,3784704,540672,1081344
/data/csv_files/0-0-0-0-0_parallel_and_collinear_16.csv,2334720,2453504,0,0,1724416,0,0,0
/data/csv_files/250470-250470-250470-250470-250470_star_intersections_6_m_1000.csv,84037632,124706816,36225024,76775424,540672,811008,0,270336
/data/csv_files/1841642-1841642-1841642-1841642-1841642_random_m_4000.csv,619978752,948068352,267362304,595550208,2162688,2981888,540672,811008
/data/csv_files/500000-43666-500000-375206-53797_star_intersections_8_s_1000.csv,4325376,86208512,540672,40280064,270336,540672,0,0
/data/csv_files/4500000-228417-4500000-3375243-282040_star_intersections_8_s_3000.csv,Error,798023680,2973696,364142592,1146880,1892352,270336,811008
/data/csv_files/0-0-0-0-0_accuracy_4.csv,Error,2453504,0,0,1724416,0,0,0
/data/csv_files/15000-14893-15000-14954-14910_star_intersections_10_5000.csv,7184384,9682944,2162688,4595712,2539520,3784704,540672,1081344
/data/csv_files/500000-38170-500000-365802-47236_star_intersections_7_l_1000.csv,4186112,84312064,540672,39198720,270336,540672,0,270336
/data/csv_files/7561372-20028-7998000-2001-2001_star_intersections_4_l_4000.csv,1744896,1712128,0,0,1622016,2277376,540672,1081344
/data/csv_files/4500-4481-4500-4483-4482_star_intersections_10_1500.csv,2162688,2973696,540672,1351680,811008,1081344,270336,540672
/data/csv_files/1111-1111-1111-1111-1111_rounding_l_2000.csv,Error,1622016,270336,270336,1081344,1622016,270336,540672
/data/csv_files/11822199-27676-12497500-2501-2501_star_intersections_4_l_5000.csv,2199552,2154496,0,0,1892352,2703360,540672,1081344
/data/csv_files/556-556-556-556-556_rounding_l_1000.csv,Error,811008,0,0,540672,540672,0,270336
/data/csv_files/1250-1244-1250-1244-1244_star_intersections_9_2500.csv,1687552,1929216,270336,270336,1351680,1892352,540672,540672
/data/csv_files/500000-44050-500000-375218-53867_star_intersections_8_m_1000.csv,3784704,87408640,540672,41086976,270336,540672,0,270336
/data/csv_files/2000000-124514-2000000-1500140-157725_star_intersections_8_l_2000.csv,Error,320729088,1892352,150515712,811008,1081344,270336,540672
/data/csv_files/1110-1110-1110-1110-1110_rounding_s_2000.csv,Error,1081344,270336,0,1081344,1351680,270336,540672
/data/csv_files/3940075-3938530-3940075-3938529-3938529_star_intersections_6_s_4000.csv,1315454976,1825411072,572030976,1082155008,2007040,2826240,540672,1081344
/data/csv_files/12500000-435224-12500000-9164219-523066_star_intersections_7_m_5000.csv,47419392,2127163392,4325376,985645056,1892352,2973696,540672,1351680
/data/csv_files/1048000-1048000-1048000-1048000-1048000_random_l_3000.csv,389656576,570781696,152199168,337920000,1351680,2162688,270336,540672
/data/csv_files/1-1-1-1-1_accuracy_1.csv,Error,2453504,0,0,1724416,0,0,0
/data/csv_files/2222-2222-2222-2222-2222_rounding_l_4000.csv,Error,3244032,270336,540672,2162688,3022848,540672,1081344
/data/csv_files/2000000-124691-2000000-1500025-152931_star_intersections_8_s_2000.csv,12656640,345174016,1892352,162086912,811008,1081344,270336,540672
/data/csv_files/2000000-107339-2000000-1461550-132721_star_intersections_7_l_2000.csv,12230656,336568320,1622016,157302784,811008,1081344,270336,540672
/data/csv_files/2839965-2839965-2839965-2839965-2839965_clustered_xxxxxxxl_1.csv,978296832,1484283904,412532736,918773760,2490368,3641344,540672,1081344
/data/csv_files/1-1-1-1-1_parallel_and_collinear_10.csv,2334720,2453504,0,0,1724416,0,0,0
/data/csv_files/469702-469702-469702-469702-469702_random_l_2000.csv,158597120,241664000,68124672,151388160,1081344,1622016,270336,540672
/data/csv_files/6243920-6237301-6243920-6237300-6237300_star_intersections_6_s_5000.csv,2124402688,2931765248,905625600,1713381376,2260992,3268608,540672,1081344
/data/csv_files/1017289-1017289-1017289-1017289-1017289_clustered_xxxl_1.csv,387178496,566919168,147603456,329146368,1351680,2162688,270336,811008
/data/csv_files/2891750-2891750-2891750-2891750-2891750_random_l_5000.csv,994127872,1506566144,420110336,933740544,2490368,3612672,540672,1081344
/data/csv_files/2778-2778-2778-2778-2778_rounding_l_5000.csv,Error,3862528,540672,811008,2465792,3588096,540672,1081344
/data/csv_files/8000000-302557-8000000-5837259-372742_star_intersections_7_l_4000.csv,35098624,1343340544,3354624,628690944,1650688,2433024,540672,1081344
/data/csv_files/2262532-2261787-2262532-2261787-2261787_star_intersections_6_s_3000.csv,817041408,1096781824,328458240,621232128,1351680,1892352,270336,540672
