File,Leda_ud,Leda_ur,Leda_pairwise_ud,Leda_pairwise_ur,Leda_balaban_ud,Leda_balaban_ur,Leda_trivial_ud,Leda_trivial_ur
/data/csv_files/250-248-250-248-248_star_intersections_9_500.csv,250,249,250,249,250,249,250,249
/data/csv_files/1-1-1-1-1_length_0_4.csv,1,1,1,1,1,1,1,1
/data/csv_files/500-494-500-494-494_star_intersections_9_1000.csv,500,500,500,500,500,500,500,500
/data/csv_files/472623-2876-499500-501-501_star_intersections_4_l_1000.csv,1,1,1,1,528437,499500,499431,499500
/data/csv_files/14849-14849-14849-14849-14849_clustered_m_10.csv,14849,14849,14849,14849,14849,14849,14849,14849
/data/csv_files/12000-11972-12000-11982-11973_star_intersections_10_4000.csv,12000,12000,12000,12000,12002,12000,12000,12000
/data/csv_files/323970-323970-323970-323970-323970_clustered_xxxxxl_10.csv,323970,323970,323970,323970,323970,323970,323970,323970
/data/csv_files/0-0-0-0-0_parallel_and_collinear_12.csv,0,0,0,0,0,0,0,0
/data/csv_files/0-0-0-0-0_parallel_and_collinear_7.csv,0,0,0,0,0,0,0,0
/data/csv_files/1111-1111-1111-1111-1111_rounding_m_2000.csv,Error,1,1111,1,1111,1,1111,1
/data/csv_files/0-0-0-0-0_parallel_and_collinear_2.csv,0,0,0,0,0,0,0,0
/data/csv_files/18000-17979-18000-17982-17979_star_intersections_10_6000.csv,17998,17998,17998,17998,18003,18000,18000,18000
/data/csv_files/1-1-2-2-2_accuracy_6.csv,Error,2,0,1,1,1,1,1
/data/csv_files/500000-37686-500000-366115-45138_star_intersections_7_m_1000.csv,7963,121520,4150,121020,533860,495516,499500,495516
/data/csv_files/500000-43751-500000-375128-55154_star_intersections_8_l_1000.csv,9302,117370,5412,116870,589452,466204,499500,466204
/data/csv_files/458125-458125-458125-458125-458125_clustered_xxxxxxxl_10.csv,458125,458125,458125,458125,458125,458125,458125,458125
/data/csv_files/464459-464459-464459-464459-464459_clustered_xl_1.csv,464459,464459,464459,464459,464459,464459,464459,464459
/data/csv_files/28-5-28-5-5_star_intersections_3.csv,1,1,1,1,28,28,28,28
/data/csv_files/0-0-0-0-0_length_0_1.csv,0,0,0,0,0,0,0,0
/data/csv_files/3000-2988-3000-2988-2988_star_intersections_9_6000.csv,3000,3000,3000,3000,3001,3000,3000,3000
/data/csv_files/0-0-0-0-0_parallel_and_collinear_15.csv,0,0,0,0,0,0,0,0
/data/csv_files/1884847-1884847-1884847-1884847-1884847_random_l_4000.csv,1884847,1883920,1884847,1883920,1884847,1883920,1884847,1883920
/data/csv_files/2-2-2-2-2_accuracy_3.csv,Error,2,1,1,1,1,1,1
/data/csv_files/1-1-1-1-1_parallel_and_collinear_9.csv,1,1,1,1,1,1,1,1
/data/csv_files/4256775-13230-4498500-1501-1501_star_intersections_4_l_3000.csv,1,1,1,1,4770593,4498500,4498382,4498500
/data/csv_files/1041752-1041752-1041752-1041752-1041752_random_m_3000.csv,1041752,1041752,1041752,1041752,1041752,1041752,1041752,1041752
