File,Leda_ud,Leda_ur,Leda_pairwise_ud,Leda_pairwise_ur,Leda_balaban_ud,Leda_balaban_ur,Leda_trivial_ud,Leda_trivial_ur
/data/csv_files/250-248-250-248-248_star_intersections_9_500.csv,2,5,12,36,2,4,5,10
/data/csv_files/1-1-1-1-1_length_0_4.csv,0,0,0,0,0,0,0,0
/data/csv_files/500-494-500-494-494_star_intersections_9_1000.csv,5,10,50,144,5,10,21,42
/data/csv_files/472623-2876-499500-501-501_star_intersections_4_l_1000.csv,3,14,94,2189,18,26,37,728
/data/csv_files/14849-14849-14849-14849-14849_clustered_m_10.csv,32,71,66,196,7,15,25,48
/data/csv_files/12000-11972-12000-11982-11973_star_intersections_10_4000.csv,49,92,830,2353,22,45,341,677
/data/csv_files/323970-323970-323970-323970-323970_clustered_xxxxxl_10.csv,991,1875,1332,3943,81,181,406,784
/data/csv_files/0-0-0-0-0_parallel_and_collinear_12.csv,0,0,0,0,0,0,0,0
/data/csv_files/0-0-0-0-0_parallel_and_collinear_7.csv,0,0,0,0,0,0,0,0
/data/csv_files/1111-1111-1111-1111-1111_rounding_m_2000.csv,Error,12,206,1578,6,13,83,170
/data/csv_files/0-0-0-0-0_parallel_and_collinear_2.csv,0,0,0,0,0,0,0,0
/data/csv_files/18000-17979-18000-17982-17979_star_intersections_10_6000.csv,67,138,1865,5256,35,71,768,1526
/data/csv_files/1-1-2-2-2_accuracy_6.csv,Error,0,0,0,0,0,0,0
/data/csv_files/500000-37686-500000-366115-45138_star_intersections_7_m_1000.csv,21,1291,202,4829,43,268,34,84
/data/csv_files/500000-43751-500000-375128-55154_star_intersections_8_l_1000.csv,25,1315,205,7839,49,533,34,103
/data/csv_files/458125-458125-458125-458125-458125_clustered_xxxxxxxl_10.csv,1352,2783,2081,5880,113,259,642,1238
/data/csv_files/464459-464459-464459-464459-464459_clustered_xl_1.csv,1388,2770,949,2691,95,223,123,238
/data/csv_files/28-5-28-5-5_star_intersections_3.csv,0,0,0,0,0,0,0,0
/data/csv_files/0-0-0-0-0_length_0_1.csv,0,0,0,0,0,0,0,0
/data/csv_files/3000-2988-3000-2988-2988_star_intersections_9_6000.csv,34,60,1823,5188,33,68,764,1506
/data/csv_files/0-0-0-0-0_parallel_and_collinear_15.csv,0,0,0,0,0,0,0,0
/data/csv_files/1884847-1884847-1884847-1884847-1884847_random_l_4000.csv,8139,14100,5452,12297,361,834,494,950
/data/csv_files/2-2-2-2-2_accuracy_3.csv,Error,0,0,0,0,0,0,0
