File,Bo_d,Boost_d,Boost_r,Cgal_intersector_ud,Cgal_arrangement_ud,Cgal_intersector_ur,Cgal_arrangement_ur,Cgal_pairwise_ud,Cgal_pairwise_ur,Geo_d,Ogdf_ud,Sweeper
./tests/1-1-1-1-1_multi_axis_7.csv,Error,65536,180224,262144,327680,229376,327680,16384,0,0,114688,Error
./tests/1-1-1-1-1_star_intersections_5.csv,Error,114688,245760,344064,442368,393216,507904,16384,0,0,147456,Error
./tests/500000-43751-500000-375128-55154_star_intersections_8_l_1000.csv,Error,458752,950272,48070656,164397056,35274752,155664384,41828352,28557312,Error,16941056,Error
./tests/0-0-0-0-0_parallel_and_collinear_15.csv,Error,81920,163840,425984,425984,409600,491520,65536,16384,0,114688,Error
./tests/2-2-2-2-2_accuracy_3.csv,Error,65536,262144,360448,442368,409600,475136,32768,0,0,Error,Error
./tests/6-3-6-3-3_multi_axis_4.csv,Error,114688,245760,360448,458752,409600,540672,32768,0,0,114688,Error
./tests/0-0-0-0-0_parallel_and_collinear_14.csv,Error,81920,163840,311296,376832,409600,491520,16384,16384,0,114688,Error
./tests/500000-44050-500000-375218-53867_star_intersections_8_m_1000.csv,Error,409600,1458176,51052544,169115648,38453248,156090368,45662208,32309248,Error,15122432,Error
./tests/1-1-1-1-1_multi_axis_6.csv,Error,65536,196608,344064,458752,393216,540672,16384,0,0,114688,Error
./tests/1500-1485-1500-1489-1484_star_intersections_10_500.csv,Error,262144,753664,1818624,3948544,1277952,3424256,851968,606208,114688,1474560,Error
./tests/443323-443323-443323-443323-443323_random_s_2000.csv,Error,475136,786432,174702592,586285056,130351104,545964032,114294784,113917952,344064,199639040,Error
./tests/464701-2510-499500-501-501_star_intersections_4_m_1000.csv,Error,475136,770048,2342912,2621440,1392640,1654784,409600,311296,229376,1081344,Error
./tests/1857478-6799-1999000-1001-1001_star_intersections_4_m_2000.csv,Error,475136,802816,3473408,4145152,2195456,3178496,425984,360448,344064,2506752,Error
./tests/1890805-7509-1999000-1001-1001_star_intersections_4_l_2000.csv,Error,507904,770048,3407872,4259840,2146304,3014656,491520,245760,344064,2179072,Error
./tests/7561372-20028-7998000-2001-2001_star_intersections_4_l_4000.csv,Error,475136,32768,5668864,7127040,3588096,4980736,507904,344064,704512,4128768,Error
./tests/12000-11972-12000-11982-11973_star_intersections_10_4000.csv,Error,475136,884736,9715712,22364160,6307840,19218432,4194304,1867776,720896,11534336,Error
./tests/11609287-26363-12497500-2501-2501_star_intersections_4_m_5000.csv,Error,475136,180224,6881280,8634368,4407296,6094848,-1179648,114688,884736,5423104,Error
./tests/1-1-2-2-2_accuracy_8.csv,Error,81920,212992,491520,475136,409600,475136,32768,0,0,Error,Error
./tests/0-0-0-0-0_parallel_and_collinear_16.csv,Error,65536,163840,311296,376832,409600,491520,16384,16384,0,114688,Error
./tests/1048000-1048000-1048000-1048000-1048000_random_l_3000.csv,Error,376832,0,373571584,1361575936,270467072,1261699072,269565952,235470848,524288,514490368,Error
./tests/4500-4481-4500-4483-4482_star_intersections_10_1500.csv,Error,425984,720896,4079616,9650176,2555904,7585792,1982464,1294336,262144,4177920,Error
./tests/22500-22461-22500-22470-22462_star_intersections_10_7500.csv,Error,409600,-540672,17317888,40763392,11550720,34897920,5881856,4571136,1327104,22429696,Error
./tests/.DS_Store,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
./tests/0-0-0-0-0_parallel_and_collinear_13.csv,Error,65536,180224,Error,Error,Error,Error,16384,0,0,114688,Error
./tests/0-0-0-0-0_parallel_and_collinear_12.csv,Error,114688,245760,262144,327680,229376,327680,16384,0,0,114688,Error
./tests/500000-37977-500000-365559-46195_star_intersections_7_s_1000.csv,Error,393216,819200,50102272,163512320,37191680,152190976,44253184,31375360,Error,11862016,Error
./tests/2000000-106391-2000000-1458868-128881_star_intersections_7_s_2000.csv,Error,409600,770048,190218240,643235840,142950400,594051072,172015616,124616704,Error,37421056,Error
./tests/1849274-1849274-1849274-1849274-1849274_clustered_xxxxxl_1.csv,Error,507904,163840,710443008,2348859392,526991360,2301771776,475414528,471924736,753664,798916608,Error
./tests/2846973-2846973-2846973-2846973-2846973_random_s_5000.csv,Error,589824,-344064,1069891584,2652733440,808845312,3316695040,731643904,730726400,884736,1271611392,Error
./tests/1665-1665-1665-1665-1665_rounding_s_3000.csv,Error,442368,-409600,4210688,7290880,3211264,6340608,655360,409600,524288,5324800,Error
./tests/1-1-1-1-1_multi_axis_3.csv,Error,81920,196608,344064,475136,393216,540672,16384,0,0,114688,Error
./tests/469702-469702-469702-469702-469702_random_l_2000.csv,Error,442368,819200,169869312,605519872,122978304,563593216,120963072,105693184,360448,209436672,Error
./tests/1853540-6861-1999000-1001-1001_star_intersections_4_s_2000.csv,Error,-589824,-65536,3342336,4128768,2211840,2867200,425984,311296,360448,2129920,Error
./tests/981917-981580-981917-981580-981580_star_intersections_6_s_2000.csv,Error,425984,720896,310804480,1242185728,221347840,1113047040,257032192,188661760,Error,422625280,Error
