starttime,host,user,input,command,time,output,error,input_stat,command_stat,input_md5,command_md5,print_intersections,force,retry_failed,timeout,exit_code,endtime,output_stat,output_md5,result,result_uniq,memory,uniqfile,uniqfile_stat,uniqfile_md5
2026-01-24T11:25:40.422012,cc9867ce380a,root,/root/segment-intersection-tester/inputs/reduced-errs/diff_cgal_boost.csv,python3 /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_cgal_boost.out.csv,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_cgal_boost.err.txt,"[33188, 1051953, 170, 1, 501, 20, 792, 1769253704, 1755286347, 1769253291]","[33261, 1708844, 170, 1, 0, 0, 536, 1769251859, 1768831310, 1768831310]",ef74a0d6e36fc1020c3aa67cf7bbc1a5  /root/segment-intersection-tester/inputs/reduced-errs/diff_cgal_boost.csv,cfd3a4e19176664f132e004827c008fc  /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,True,False,False,36000,0,2026-01-24T11:25:43.409503,"[33188, 1055183, 170, 1, 0, 0, 398, 1769253940, 1769253943, 1769253943]",3dbe021b5fc6e65ccecfbc7fc121e81c  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_cgal_boost.out.csv,3,3,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_cgal_boost.uniq.csv,"(33188, 1190426, 170, 1, 0, 0, 398, 1769254497, 1769254497, 1769254497)",f6cc018848b2faf8e1446b5012c51689  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_cgal_boost.uniq.csv
2026-01-24T11:25:40.729389,cc9867ce380a,root,/root/segment-intersection-tester/inputs/reduced-errs/diff_leda_x2.csv,python3 /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_x2.out.csv,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_x2.err.txt,"[33188, 1051957, 170, 1, 501, 20, 796, 1769253704, 1755615916, 1769253291]","[33261, 1708844, 170, 1, 0, 0, 536, 1769251859, 1768831310, 1768831310]",af9852bc2afcef6f64b568ff3780da90  /root/segment-intersection-tester/inputs/reduced-errs/diff_leda_x2.csv,cfd3a4e19176664f132e004827c008fc  /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,True,False,False,36000,0,2026-01-24T11:25:43.905414,"[33188, 1055188, 170, 1, 0, 0, 398, 1769253940, 1769253943, 1769253943]",996b045bcaa510006e57d56cc29e0629  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_x2.out.csv,1,3,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_x2.uniq.csv,"(33188, 1190429, 170, 1, 0, 0, 138, 1769254497, 1769254497, 1769254497)",7c33edae4f5bcfbc1c3727138a827c98  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_x2.uniq.csv
2026-01-24T11:25:43.482037,cc9867ce380a,root,/root/segment-intersection-tester/inputs/reduced-errs/diff_cgal_inter_arr.csv,python3 /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_cgal_inter_arr.out.csv,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_cgal_inter_arr.err.txt,"[33188, 1051954, 170, 1, 501, 20, 792, 1769253705, 1755287078, 1769253291]","[33261, 1708844, 170, 1, 0, 0, 536, 1769251859, 1768831310, 1768831310]",2a0161320382784064b4e5e73f21cab8  /root/segment-intersection-tester/inputs/reduced-errs/diff_cgal_inter_arr.csv,cfd3a4e19176664f132e004827c008fc  /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,True,False,False,36000,0,2026-01-24T11:25:46.540183,"[33188, 1055184, 170, 1, 0, 0, 398, 1769253943, 1769253946, 1769253946]",9b206e59cbd2a7147f251e64e7eb2bca  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_cgal_inter_arr.out.csv,3,3,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_cgal_inter_arr.uniq.csv,"(33188, 1190430, 170, 1, 0, 0, 398, 1769254497, 1769254497, 1769254497)",302478b0e2155677460cb9477210da8e  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_cgal_inter_arr.uniq.csv
2026-01-24T11:25:40.713952,cc9867ce380a,root,/root/segment-intersection-tester/inputs/reduced-errs/diff_leda_pw_ba_tr.csv,python3 /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_pw_ba_tr.out.csv,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_pw_ba_tr.err.txt,"[33188, 1051956, 170, 1, 501, 20, 796, 1769253704, 1755616581, 1769253291]","[33261, 1708844, 170, 1, 0, 0, 536, 1769251859, 1768831310, 1768831310]",af9852bc2afcef6f64b568ff3780da90  /root/segment-intersection-tester/inputs/reduced-errs/diff_leda_pw_ba_tr.csv,cfd3a4e19176664f132e004827c008fc  /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,True,False,False,36000,0,2026-01-24T11:25:43.749511,"[33188, 1055175, 170, 1, 0, 0, 398, 1769253940, 1769253943, 1769253943]",996b045bcaa510006e57d56cc29e0629  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_pw_ba_tr.out.csv,1,3,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_pw_ba_tr.uniq.csv,"(33188, 1190431, 170, 1, 0, 0, 138, 1769254497, 1769254497, 1769254497)",7c33edae4f5bcfbc1c3727138a827c98  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_pw_ba_tr.uniq.csv
2026-01-24T11:25:40.942425,cc9867ce380a,root,/root/segment-intersection-tester/inputs/reduced-errs/diff_leda_pw.csv,python3 /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_pw.out.csv,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_pw.err.txt,"[33188, 1051955, 170, 1, 501, 20, 792, 1769253704, 1755286265, 1769253291]","[33261, 1708844, 170, 1, 0, 0, 536, 1769251859, 1768831310, 1768831310]",ef74a0d6e36fc1020c3aa67cf7bbc1a5  /root/segment-intersection-tester/inputs/reduced-errs/diff_leda_pw.csv,cfd3a4e19176664f132e004827c008fc  /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,True,False,False,36000,0,2026-01-24T11:25:44.268474,"[33188, 1055179, 170, 1, 0, 0, 398, 1769253941, 1769253944, 1769253944]",3dbe021b5fc6e65ccecfbc7fc121e81c  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_pw.out.csv,3,3,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_pw.uniq.csv,"(33188, 1190432, 170, 1, 0, 0, 398, 1769254497, 1769254497, 1769254497)",f6cc018848b2faf8e1446b5012c51689  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/reduced-errs/diff_leda_pw.uniq.csv
2026-01-24T11:25:43.970233,cc9867ce380a,root,/root/segment-intersection-tester/inputs/accuracy/accuracy_6.csv,python3 /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_6.out.csv,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_6.err.txt,"[33188, 1051936, 170, 1, 501, 20, 535, 1769253705, 1754486428, 1769253291]","[33261, 1708844, 170, 1, 0, 0, 536, 1769251859, 1768831310, 1768831310]",605aef98bef1626a7efbf7ab8735bea1  /root/segment-intersection-tester/inputs/accuracy/accuracy_6.csv,cfd3a4e19176664f132e004827c008fc  /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,True,False,False,36000,0,2026-01-24T11:25:46.822309,"[33188, 1055189, 170, 1, 0, 0, 8, 1769253944, 1769253946, 1769253946]",b366ce831172f814a320f0567bfecf55  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_6.out.csv,0,0,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_6.uniq.csv,"(33188, 1190433, 170, 1, 0, 0, 8, 1769254497, 1769254497, 1769254497)",b366ce831172f814a320f0567bfecf55  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_6.uniq.csv
2026-01-24T11:25:46.662995,cc9867ce380a,root,/root/segment-intersection-tester/inputs/accuracy/accuracy_7.csv,python3 /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_7.out.csv,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_7.err.txt,"[33188, 1051937, 170, 1, 501, 20, 535, 1769253705, 1754486428, 1769253291]","[33261, 1708844, 170, 1, 0, 0, 536, 1769251859, 1768831310, 1768831310]",2265bf93d95cbf406663e4f83aaa2005  /root/segment-intersection-tester/inputs/accuracy/accuracy_7.csv,cfd3a4e19176664f132e004827c008fc  /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,True,False,False,36000,0,2026-01-24T11:25:49.342992,"[33188, 1055211, 170, 1, 0, 0, 138, 1769253946, 1769253949, 1769253949]",bf5724bf1a4dee7e6d62aadca3fa5fb3  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_7.out.csv,1,1,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_7.uniq.csv,"(33188, 1190434, 170, 1, 0, 0, 138, 1769254497, 1769254497, 1769254497)",bf5724bf1a4dee7e6d62aadca3fa5fb3  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_7.uniq.csv
2026-01-24T11:25:49.803405,cc9867ce380a,root,/root/segment-intersection-tester/inputs/accuracy/accuracy_9.csv,python3 /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_9.out.csv,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_9.err.txt,"[33188, 1051939, 170, 1, 501, 20, 535, 1769253705, 1754486428, 1769253291]","[33261, 1708844, 170, 1, 0, 0, 536, 1769251859, 1768831310, 1768831310]",4f8ed068ea392bef96f069b7bbf9bf28  /root/segment-intersection-tester/inputs/accuracy/accuracy_9.csv,cfd3a4e19176664f132e004827c008fc  /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,True,False,False,36000,0,2026-01-24T11:25:52.506287,"[33188, 1055215, 170, 1, 0, 0, 138, 1769253949, 1769253952, 1769253952]",bf5724bf1a4dee7e6d62aadca3fa5fb3  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_9.out.csv,1,1,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_9.uniq.csv,"(33188, 1190435, 170, 1, 0, 0, 138, 1769254497, 1769254497, 1769254497)",bf5724bf1a4dee7e6d62aadca3fa5fb3  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_9.uniq.csv
2026-01-24T11:25:52.133420,cc9867ce380a,root,/root/segment-intersection-tester/inputs/accuracy/simple_4.csv,python3 /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/simple_4.out.csv,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/simple_4.err.txt,"[33188, 1051946, 170, 1, 501, 20, 535, 1769253705, 1755251962, 1769253291]","[33261, 1708844, 170, 1, 0, 0, 536, 1769251859, 1768831310, 1768831310]",d9e0eae55511ec580947bd1acda7eaa2  /root/segment-intersection-tester/inputs/accuracy/simple_4.csv,cfd3a4e19176664f132e004827c008fc  /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,True,False,False,36000,0,2026-01-24T11:25:54.859579,"[33188, 1055222, 170, 1, 0, 0, 138, 1769253952, 1769253954, 1769253954]",3ad7ff9b0ee30f463f801ca57a32b1d1  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/simple_4.out.csv,1,1,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/simple_4.uniq.csv,"(33188, 1190436, 170, 1, 0, 0, 138, 1769254497, 1769254497, 1769254497)",3ad7ff9b0ee30f463f801ca57a32b1d1  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/simple_4.uniq.csv
2026-01-24T11:25:49.406611,cc9867ce380a,root,/root/segment-intersection-tester/inputs/accuracy/accuracy_2.csv,python3 /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_2.out.csv,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_2.err.txt,"[33188, 1051932, 170, 1, 501, 20, 535, 1769253705, 1754486412, 1769253291]","[33261, 1708844, 170, 1, 0, 0, 536, 1769251859, 1768831310, 1768831310]",9f6b90bd733b12c59b3a4bc469bd0730  /root/segment-intersection-tester/inputs/accuracy/accuracy_2.csv,cfd3a4e19176664f132e004827c008fc  /root/segment-intersection-tester/adapters/python/test_vectorized_d.py,True,False,False,36000,0,2026-01-24T11:25:52.063048,"[33188, 1055223, 170, 1, 0, 0, 8, 1769253949, 1769253951, 1769253951]",b366ce831172f814a320f0567bfecf55  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_2.out.csv,0,0,,/root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_2.uniq.csv,"(33188, 1190437, 170, 1, 0, 0, 8, 1769254497, 1769254497, 1769254497)",b366ce831172f814a320f0567bfecf55  /root/segment-intersection-tester/out-intersections/test_vectorized_d.py/accuracy/accuracy_2.uniq.csv
