File,Bo_d,Boost_d,Boost_r,Cgal_intersector_ud,Cgal_arrangement_ud,Cgal_intersector_ur,Cgal_arrangement_ur,Cgal_pairwise_ud,Cgal_pairwise_ur,Geo_d,Ogdf_ud,Sweeper
./tests/1-1-1-1-1_multi_axis_7.csv,Error,0,0,3,0,3,0,1,1,1,0,Error
./tests/1-1-1-1-1_star_intersections_5.csv,Error,1,1,5,1,5,1,1,1,1,1,Error
./tests/500000-43751-500000-375128-55154_star_intersections_8_l_1000.csv,Error,210541,210421,125694,124694,125694,124694,125694,125694,Error,118630,Error
./tests/0-0-0-0-0_parallel_and_collinear_15.csv,Error,0,0,4,0,4,0,0,0,0,0,Error
./tests/2-2-2-2-2_accuracy_3.csv,Error,2,2,3,0,3,0,2,2,2,Error,Error
./tests/6-3-6-3-3_multi_axis_4.csv,Error,6,6,5,1,5,1,1,1,6,0,Error
./tests/0-0-0-0-0_parallel_and_collinear_14.csv,Error,0,0,4,0,4,0,0,0,0,0,Error
./tests/500000-44050-500000-375218-53867_star_intersections_8_m_1000.csv,Error,210547,210446,125734,124734,125734,124734,125734,125734,Error,97822,Error
./tests/1-1-1-1-1_multi_axis_6.csv,Error,0,0,4,1,4,1,1,1,1,0,Error
./tests/1500-1485-1500-1489-1484_star_intersections_10_500.csv,Error,1500,1500,2476,1488,2476,1488,1500,1500,1500,1488,Error
./tests/443323-443323-443323-443323-443323_random_s_2000.csv,Error,418932,418932,447323,443323,447323,443323,443323,443323,443323,443323,Error
./tests/464701-2510-499500-501-501_star_intersections_4_m_1000.csv,Error,499500,561501,1001,1,1001,1,1,1,499500,0,Error
./tests/1857478-6799-1999000-1001-1001_star_intersections_4_m_2000.csv,Error,1999000,2248001,2001,1,2001,1,1,1,1999000,0,Error
./tests/1890805-7509-1999000-1001-1001_star_intersections_4_l_2000.csv,Error,1999000,2248001,2001,1,2001,1,1,1,1999000,0,Error
./tests/7561372-20028-7998000-2001-2001_star_intersections_4_l_4000.csv,Error,7998000,8996001,4001,1,4001,1,1,1,7998000,0,Error
./tests/12000-11972-12000-11982-11973_star_intersections_10_4000.csv,Error,12000,12000,19966,11983,19966,11983,12000,12000,12000,11983,Error
./tests/11609287-26363-12497500-2501-2501_star_intersections_4_m_5000.csv,Error,12497500,14057501,5001,1,5001,1,1,1,12497500,0,Error
./tests/1-1-2-2-2_accuracy_8.csv,Error,0,0,4,0,4,0,2,2,2,Error,Error
./tests/0-0-0-0-0_parallel_and_collinear_16.csv,Error,0,0,4,0,4,0,0,0,0,0,Error
./tests/1048000-1048000-1048000-1048000-1048000_random_l_3000.csv,Error,965085,965085,1054000,1048000,1054000,1048000,1048000,1048000,1048000,1048000,Error
./tests/4500-4481-4500-4483-4482_star_intersections_10_1500.csv,Error,4500,4500,7470,4485,7470,4485,4500,4500,4500,4485,Error
./tests/22500-22461-22500-22470-22462_star_intersections_10_7500.csv,Error,22500,22500,37446,22473,37446,22473,22500,22500,22500,22473,Error
./tests/0-0-0-0-0_parallel_and_collinear_13.csv,Error,0,0,Error,Error,Error,Error,0,0,0,0,Error
./tests/0-0-0-0-0_parallel_and_collinear_12.csv,Error,1,1,4,0,4,0,0,0,0,0,Error
./tests/500000-37977-500000-365559-46195_star_intersections_7_s_1000.csv,Error,210596,210770,122285,121285,122285,121285,122285,122285,Error,83644,Error
./tests/2000000-106391-2000000-1458868-128881_star_intersections_7_s_2000.csv,Error,842616,842965,487076,485076,487076,485076,487076,487076,Error,260516,Error
./tests/1849274-1849274-1849274-1849274-1849274_clustered_xxxxxl_1.csv,Error,3806917,3806917,1857274,1849274,1857274,1849274,1849274,1849274,1849274,1849274,Error
./tests/2846973-2846973-2846973-2846973-2846973_random_s_5000.csv,Error,2654986,2654986,2856973,2846973,2856973,2846973,2846973,2846973,2846973,2846973,Error
./tests/1665-1665-1665-1665-1665_rounding_s_3000.csv,Error,4498500,4498500,7667,1665,7667,1665,1665,1665,1665,1665,Error
./tests/1-1-1-1-1_multi_axis_3.csv,Error,0,0,5,1,5,1,1,1,1,1,Error
./tests/469702-469702-469702-469702-469702_random_l_2000.csv,Error,430340,430340,473702,469702,473702,469702,469702,469702,469702,469702,Error
./tests/1853540-6861-1999000-1001-1001_star_intersections_4_s_2000.csv,Error,2000217,2248001,2001,1,2001,1,1,1,1999000,0,Error
./tests/981917-981580-981917-981580-981580_star_intersections_6_s_2000.csv,Error,981917,981917,984888,981328,984888,981328,981659,981659,Error,981469,Error
./tests/8000000-299967-8000000-5838013-358626_star_intersections_7_m_4000.csv,Error,3371004,3370664,1947477,1943477,1947477,1943477,1947477,1947477,Error,Error,Error
./tests/4500000-228550-4500000-3375065-289468_star_intersections_8_l_3000.csv,Error,1895444,1895255,1126951,1123951,1126951,1123951,1126951,1126951,Error,612132,Error
./tests/6349478-6349478-6349478-6349478-6349478_star_intersections_6_l_5000.csv,Error,6349478,6349478,6359478,6349478,6359478,6349478,6349478,6349478,6349478,6349478,Error
./tests/0-0-0-0-0_length_0_1.csv,Error,0,0,Error,Error,Error,Error,0,0,0,0,Error
./tests/2222-2222-2222-2222-2222_rounding_m_4000.csv,Error,7998000,7998000,10224,2222,10224,2222,2222,2222,2222,2222,Error
./tests/14849-14849-14849-14849-14849_clustered_m_10.csv,Error,38001,38001,16849,14849,16849,14849,14849,14849,14849,14849,Error
./tests/7428740-18900-7998000-2001-2001_star_intersections_4_m_4000.csv,Error,7998000,8996001,4001,1,4001,1,1,1,7998000,0,Error
./tests/28-5-28-5-5_star_intersections_3.csv,Error,22,22,17,1,17,1,1,1,28,14,Error
./tests/2222-2222-2222-2222-2222_rounding_l_4000.csv,Error,7998000,7998000,10224,2222,10224,2222,2222,2222,2222,2222,Error
./tests/0-0-0-0-0_parallel_and_collinear_2.csv,Error,2,0,4,0,4,0,0,0,0,0,Error
./tests/120169-120169-120169-120169-120169_random_l_1000.csv,Error,109156,109156,122169,120169,122169,120169,120169,120169,120169,120169,Error
./tests/472623-2876-499500-501-501_star_intersections_4_l_1000.csv,Error,499500,561501,1001,1,1001,1,1,1,499500,0,Error
./tests/2891750-2891750-2891750-2891750-2891750_random_l_5000.csv,Error,2668173,2668173,2901750,2891750,2901750,2891750,2891750,2891750,2891750,2891750,Error
./tests/2250-2241-2250-2241-2241_star_intersections_9_4500.csv,Error,2250,2250,11230,2240,11230,2240,2250,2250,2250,2240,Error
./tests/2262532-2261787-2262532-2261787-2261787_star_intersections_6_s_3000.csv,Error,2262533,2262533,2266327,2261194,2266327,2261194,2261858,2261858,Error,2261655,Error
./tests/8000000-350292-8000000-5999154-429994_star_intersections_8_s_4000.csv,Error,3370756,3370317,2002216,1998216,2002216,1998216,2002216,2002216,Error,834870,Error
./tests/23790-23790-23790-23790-23790_clustered_m_5.csv,Error,63387,63387,25790,23790,25790,23790,23790,23790,23790,23790,Error
./tests/323970-323970-323970-323970-323970_clustered_xxxxxl_10.csv,Error,699946,699946,331970,323970,331970,323970,323970,323970,323970,323970,Error
./tests/3000-2988-3000-2988-2988_star_intersections_9_6000.csv,Error,3000,3000,14974,2987,14974,2987,3000,3000,3000,2987,Error
./tests/2985982-2985982-2985982-2985982-2985982_random_m_5000.csv,Error,2754416,2754416,2995982,2985982,2995982,2985982,2985982,2985982,2985982,2985982,Error
./tests/0-0-0-0-0_parallel_and_collinear_1.csv,Error,2,0,4,0,4,0,0,0,0,0,Error
./tests/4173105-12497-4498500-1501-1501_star_intersections_4_s_3000.csv,Error,4501482,5059501,3001,1,3001,1,1,1,4498500,0,Error
./tests/2000-1982-2000-1980-1980_star_intersections_9_4000.csv,Error,2000,2000,9970,1985,9970,1985,2000,2000,2000,1985,Error
./tests/9000-8966-9000-8973-8961_star_intersections_10_3000.csv,Error,9000,9000,14972,8986,14972,8986,9000,9000,9000,8986,Error
./tests/4-3-4-3-3_parallel_and_collinear_8.csv,Error,2,2,5,1,5,1,3,3,4,4,Error
./tests/21000-20986-21000-20987-20984_star_intersections_10_7000.csv,Error,21000,21000,34972,20986,34972,20986,21000,21000,21000,20986,Error
./tests/764463-764463-764463-764463-764463_clustered_xxxxxxxl_5.csv,Error,1764281,1764281,774463,764463,774463,764463,764463,764463,764463,764463,Error
./tests/7500-7440-7500-7458-7444_star_intersections_10_2500.csv,Error,7500,7500,12435,7468,12435,7468,7498,7498,7500,7467,Error
