File,Bo_d,Boost_d,Boost_r,Cgal_intersector_ud,Cgal_arrangement_ud,Cgal_intersector_ur,Cgal_arrangement_ur,Cgal_pairwise_ud,Cgal_pairwise_ur,Geo_d,Ogdf_ud,Sweeper
./tests/1-1-1-1-1_multi_axis_7.csv,Error,0,0,0,0,0,0,0,0,0,0,Error
./tests/1-1-1-1-1_star_intersections_5.csv,Error,0,0,0,0,0,0,0,0,0,0,Error
./tests/500000-43751-500000-375128-55154_star_intersections_8_l_1000.csv,Error,2619,12140,8451,8960,5765,6252,12129,5542,Error,21,Error
./tests/0-0-0-0-0_parallel_and_collinear_15.csv,Error,0,0,0,0,0,0,0,0,0,0,Error
./tests/2-2-2-2-2_accuracy_3.csv,Error,0,0,0,0,0,0,0,0,0,Error,Error
./tests/6-3-6-3-3_multi_axis_4.csv,Error,0,0,0,0,0,0,0,0,0,0,Error
./tests/0-0-0-0-0_parallel_and_collinear_14.csv,Error,0,0,0,0,0,0,0,0,0,0,Error
./tests/500000-44050-500000-375218-53867_star_intersections_8_m_1000.csv,Error,2616,12555,8691,9177,6054,6451,12370,5788,Error,18,Error
./tests/1-1-1-1-1_multi_axis_6.csv,Error,0,0,0,0,0,0,0,0,0,0,Error
./tests/1500-1485-1500-1489-1484_star_intersections_10_500.csv,Error,375,1412,71,80,47,54,268,388,0,5,Error
./tests/443323-443323-443323-443323-443323_random_s_2000.csv,Error,8773,39771,23103,24957,20805,21998,8335,9952,0,492,Error
./tests/464701-2510-499500-501-501_star_intersections_4_m_1000.csv,Error,3124,15379,582,594,418,420,1568,1380,0,3,Error
./tests/1857478-6799-1999000-1001-1001_star_intersections_4_m_2000.csv,Error,12487,61627,2257,2307,1614,1639,6294,5509,0,7,Error
./tests/1890805-7509-1999000-1001-1001_star_intersections_4_l_2000.csv,Error,12500,60830,2259,2307,1590,1615,6303,5387,0,7,Error
./tests/7561372-20028-7998000-2001-2001_star_intersections_4_l_4000.csv,Error,50073,243445,8871,9102,6295,6375,25162,21571,0,16,Error
./tests/12000-11972-12000-11982-11973_star_intersections_10_4000.csv,Error,23774,88240,624,700,412,476,16299,24352,0,327,Error
./tests/11609287-26363-12497500-2501-2501_star_intersections_4_m_5000.csv,Error,78241,385248,13836,14168,9942,10081,39336,34687,0,21,Error
./tests/1-1-2-2-2_accuracy_8.csv,Error,0,0,0,1,0,0,0,0,0,Error,Error
./tests/0-0-0-0-0_parallel_and_collinear_16.csv,Error,0,0,0,0,0,0,0,0,0,0,Error
./tests/1048000-1048000-1048000-1048000-1048000_random_l_3000.csv,Error,19757,85092,53572,57883,48072,50417,20036,21302,0,1298,Error
./tests/4500-4481-4500-4483-4482_star_intersections_10_1500.csv,Error,3353,12428,224,251,149,170,2304,3470,0,51,Error
./tests/22500-22461-22500-22470-22462_star_intersections_10_7500.csv,Error,83429,307656,1206,1354,802,921,57213,85794,0,1100,Error
./tests/.DS_Store,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
./tests/0-0-0-0-0_parallel_and_collinear_13.csv,Error,0,0,Error,Error,Error,Error,0,0,0,0,Error
./tests/0-0-0-0-0_parallel_and_collinear_12.csv,Error,0,0,0,0,0,0,0,0,0,0,Error
./tests/500000-37977-500000-365559-46195_star_intersections_7_s_1000.csv,Error,2622,12791,8464,8884,5810,6232,12390,5753,Error,16,Error
